
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"8.353"	"5.281"	"12.303"	"20.918"	"109.14"	"321.849"	"322.95"	"349.726"	"309.19"	"111.972"	"1.308"	"0.652"
"1942"	"15.452"	"22.073"	"10.28"	"34.818"	"50.08"	"255.593"	"287.406"	"534.733"	"497.681"	"28.334"	"0.657"	"0.736"
"1943"	"17.401"	"10.127"	"21.803"	"102.516"	"133.743"	"222.561"	"435.267"	"319.245"	"289.279"	"50.012"	"0.821"	"0.513"
"1944"	"26.437"	"11.041"	"45.961"	"47.892"	"74.563"	"354.749"	"235.441"	"421.586"	"214.641"	"58.469"	"0.238"	"0"
"1945"	"49.821"	"13.84"	"5.888"	"34.514"	"111.703"	"277.463"	"366.9"	"311.17"	"388.627"	"209.883"	"0.005"	"1.502"
"1946"	"0"	"15.621"	"29.307"	"46.628"	"133.696"	"218.829"	"504.814"	"292.719"	"275.72"	"182.944"	"13.332"	"0"
"1947"	"10.919"	"4.028"	"18.409"	"15.458"	"99.254"	"215.199"	"650.501"	"276.922"	"377.328"	"53.721"	"0.001"	"2.076"
"1948"	"3.64"	"7.061"	"7.406"	"82.618"	"193.138"	"186.756"	"477.61"	"304.668"	"340.13"	"128.618"	"11.618"	"0"
"1949"	"8.538"	"30.217"	"10.362"	"39.038"	"193.743"	"513.678"	"456.329"	"483.93"	"208.518"	"62.573"	"0.545"	"0.005"
"1950"	"1.264"	"9.7"	"39.498"	"18.873"	"36.279"	"437.93"	"319.589"	"336.805"	"209.373"	"82.776"	"5.227"	"0.004"
"1951"	"4.405"	"0.061"	"41.018"	"11.515"	"54.492"	"251.151"	"614.707"	"393.189"	"245.165"	"88.949"	"19.946"	"0"
"1952"	"0.007"	"7.628"	"21.534"	"83.773"	"60.301"	"531.786"	"346.882"	"363.324"	"353.14"	"99.67"	"8.082"	"0"
"1953"	"44.338"	"2.561"	"12.221"	"13.072"	"57.994"	"330.299"	"531.169"	"258.553"	"327.5"	"7.452"	"0.197"	"3.632"
"1954"	"25.36"	"3.66"	"3.814"	"13.5"	"120.459"	"450.871"	"525.631"	"284.891"	"334.413"	"74.397"	"0"	"2.09"
"1955"	"19.891"	"6.625"	"4.383"	"43.879"	"47.411"	"383.665"	"869.631"	"287.224"	"202.462"	"61.783"	"2.518"	"1.638"
"1956"	"17.381"	"10.297"	"18.649"	"90.738"	"219.416"	"374.578"	"331.107"	"328.766"	"328.637"	"138.942"	"31.208"	"4.646"
"1957"	"26.967"	"4.194"	"10.569"	"3.982"	"76.075"	"161.865"	"394.224"	"168.933"	"219.607"	"57.559"	"0.79"	"2.799"
"1958"	"22.418"	"7.446"	"18.479"	"38.076"	"78.999"	"191.864"	"399.635"	"534.172"	"231.661"	"92.622"	"1.674"	"0"
"1959"	"14.919"	"0"	"3.672"	"15.928"	"102.555"	"180.229"	"470.781"	"345.043"	"478.789"	"267.705"	"0"	"0"
"1960"	"0.426"	"0"	"25.871"	"3.292"	"54.338"	"169.79"	"418.39"	"245.987"	"353.379"	"40.053"	"0.004"	"0"
"1961"	"4.406"	"43.622"	"2.54"	"8.441"	"70.147"	"228.014"	"301.39"	"261.682"	"302.131"	"109.208"	"5.87"	"3.594"
"1962"	"17.837"	"9.063"	"6.415"	"30.183"	"89.574"	"232.891"	"338.658"	"480.829"	"264.184"	"38.873"	"0"	"1.98"
"1963"	"0.426"	"0.922"	"57.624"	"51.599"	"169.201"	"215.449"	"381.559"	"200.028"	"227.307"	"193.724"	"10.054"	"0"
"1964"	"1.551"	"1.333"	"4.404"	"45.977"	"58.653"	"225.497"	"472.724"	"295.47"	"148.613"	"58.02"	"0"	"0"
"1965"	"0"	"5.07"	"11.666"	"50.776"	"90.331"	"111.386"	"392.718"	"343.967"	"139.709"	"23.363"	"12.076"	"0.245"
"1966"	"24.912"	"3.037"	"0.235"	"6.595"	"57.963"	"306.378"	"234.266"	"302.157"	"196.925"	"21.704"	"31.073"	"2.001"
"1967"	"4.415"	"0.327"	"52.458"	"90.178"	"25.266"	"175.868"	"369.479"	"314.193"	"181.476"	"39.28"	"1.238"	"0.364"
"1968"	"23.197"	"1.438"	"9.266"	"17.237"	"31.284"	"445.636"	"484.286"	"265.515"	"157.732"	"249.282"	"2.657"	"3.704"
"1969"	"8.206"	"1.753"	"18.093"	"30.213"	"132.862"	"152.254"	"401.596"	"385.411"	"251.004"	"50.233"	"28.054"	"0"
"1970"	"10.656"	"20.417"	"5.977"	"16.524"	"67.428"	"330.018"	"416.624"	"308.103"	"276.884"	"84.648"	"2.219"	"0"
"1971"	"5.589"	"1.209"	"11.508"	"128.028"	"124.098"	"294.919"	"392.177"	"286.884"	"234.759"	"185.681"	"9.021"	"0"
"1972"	"8.745"	"9.476"	"4.78"	"36.29"	"68.866"	"243.374"	"369.453"	"182.255"	"440.036"	"40.848"	"0.76"	"0"
"1973"	"21.152"	"8.561"	"10.186"	"6.329"	"113.842"	"416.713"	"245.467"	"351.761"	"284.181"	"340.829"	"40.727"	"3.392"
"1974"	"14.4"	"0"	"22.77"	"41.571"	"154.175"	"249.022"	"691.464"	"292.884"	"277.781"	"58.823"	"5.96"	"2.52"
"1975"	"11.89"	"5.67"	"1.643"	"23.177"	"169.39"	"483.681"	"578.557"	"119.592"	"523.847"	"34.553"	"0.021"	"0"
"1976"	"4.612"	"26.229"	"2.091"	"53.282"	"156.498"	"369.791"	"311.401"	"429.748"	"190.338"	"23.588"	"0.305"	"0.005"
"1977"	"0.581"	"4.741"	"3.629"	"75.476"	"120.173"	"192.858"	"380.159"	"254.847"	"139.69"	"195.336"	"23.542"	"23.058"
"1978"	"7.817"	"14.184"	"45.26"	"43.029"	"168.473"	"311.147"	"422.11"	"252.594"	"277.99"	"91.381"	"26.346"	"0.002"
"1979"	"8.833"	"25.657"	"0.93"	"49.946"	"36.409"	"237.591"	"503.902"	"413.165"	"204.417"	"156.726"	"9.273"	"36.752"
"1980"	"3.692"	"10.15"	"30.679"	"7.926"	"176.911"	"271.788"	"414.425"	"240.179"	"217.094"	"51.85"	"9.705"	"0"
"1981"	"20.038"	"2.943"	"24.803"	"79.951"	"151.53"	"226.654"	"529.428"	"256.462"	"176.925"	"1.025"	"2.029"	"6.981"
"1982"	"0.011"	"5.972"	"12.087"	"56.681"	"49.557"	"201.828"	"287.333"	"109.758"	"313.906"	"73.366"	"10.288"	"0.533"
"1983"	"24.285"	"3.401"	"6.831"	"27.152"	"184.954"	"251.901"	"735.835"	"208.665"	"198.737"	"133.103"	"0.392"	"16.481"
"1984"	"21.206"	"13.376"	"8.721"	"52.771"	"138.508"	"417.561"	"660.36"	"221.927"	"764.051"	"42.41"	"0"	"0.023"
"1985"	"3.074"	"10.197"	"3.41"	"22.928"	"138.567"	"168.82"	"542.067"	"110.273"	"277.906"	"58.487"	"4.119"	"34.758"
"1986"	"0.534"	"1.03"	"0.325"	"85.387"	"164.787"	"256.092"	"347.969"	"207.31"	"241.578"	"111.724"	"15.531"	"12.284"
"1987"	"0.015"	"17.277"	"27.528"	"49.275"	"114.058"	"229.209"	"448.875"	"688.678"	"368.988"	"274.459"	"4.687"	"2.617"
"1988"	"3.038"	"28.045"	"25.107"	"54.828"	"113.653"	"153.459"	"517.851"	"672.892"	"220.15"	"16.253"	"19.013"	"6.962"
"1989"	"32.904"	"20.99"	"7.174"	"4.503"	"211.066"	"340.964"	"448.56"	"275.754"	"463.08"	"57.397"	"13.513"	"1.773"
"1990"	"0.004"	"24.251"	"12.31"	"43.338"	"274.115"	"258.065"	"387.359"	"347.096"	"312.318"	"119.096"	"0.401"	"0.001"
"1991"	"32.672"	"5.229"	"19.445"	"31.51"	"37.355"	"259.065"	"381.02"	"511.638"	"328.413"	"45.148"	"0.303"	"8.909"
"1992"	"6.572"	"3.609"	"6.758"	"45.934"	"139.975"	"107.457"	"491.13"	"314.353"	"216.584"	"19.192"	"0.735"	"0.808"
"1993"	"41.356"	"7.151"	"23.511"	"41.534"	"142.948"	"197.572"	"242.394"	"357.732"	"338.986"	"56.681"	"4.355"	"0"
"1994"	"56.065"	"10.116"	"17.936"	"69.045"	"62.058"	"196.875"	"312.106"	"406.352"	"142.316"	"87.78"	"19.321"	"0.674"
"1995"	"37.805"	"17.635"	"11.836"	"29.13"	"92.888"	"214.405"	"351.005"	"247.218"	"341.781"	"17.89"	"29.427"	"3.309"
"1996"	"17.694"	"9.865"	"4.377"	"49.174"	"112.892"	"79.391"	"338.99"	"379.752"	"209.944"	"105.579"	"0"	"0"
"1997"	"14.14"	"17.464"	"17.467"	"34.038"	"223.263"	"134.865"	"269.827"	"335.996"	"322.978"	"72.041"	"20.441"	"13.366"
"1998"	"0.813"	"16.723"	"15.273"	"49.404"	"212.53"	"125.529"	"329.101"	"348.053"	"266.972"	"249.585"	"14.611"	"0"
"1999"	"10.715"	"3.801"	"2.476"	"1.738"	"179.393"	"227.352"	"422.53"	"361.102"	"248.59"	"65.582"	"3.769"	"0.067"
"2000"	"13.569"	"8.796"	"17.6"	"26.941"	"108.247"	"279.953"	"209.316"	"298.857"	"315.875"	"11.509"	"0.067"	"0.067"
"2001"	"2.314"	"2.672"	"22.699"	"37.569"	"158.392"	"170.904"	"357.478"	"288.086"	"147.523"	"118.602"	"1.299"	"0"
"2002"	"15.298"	"4.908"	"8.826"	"49.697"	"95.659"	"181.552"	"332.627"	"309.649"	"270.889"	"118.719"	"14.425"	"0"
